BANCO;MONTO;PERFIL;FECHA
DE LOS TRABAJADORES;28676074;ACTIVO;2021/04/30
INDUSTRIAL, S. A.;112362517;ACTIVO;2021/04/30
DE DESARROLLO RURAL, S. A.;87432128;ACTIVO;2021/04/30
INTERNACIONAL, S. A.;11439168;ACTIVO;2021/04/30
CITIBANK, N.A., SUCURSAL GUATEMALA;4312208;ACTIVO;2021/04/30
VIVIBANCO, S. A.;765152;ACTIVO;2021/04/30
FICOHSA GUATEMALA, S. A.;3165145;ACTIVO;2021/04/30
PROMERICA, S. A.;18026749;ACTIVO;2021/04/30
DE ANTIGUA, S. A.;1536311;ACTIVO;2021/04/30
DE AMÉRICA CENTRAL, S. A.;34464484;ACTIVO;2021/04/30
AGROMERCANTIL DE GUATEMALA, S. A.;32333473;ACTIVO;2021/04/30
G&T CONTINENTAL, S. A.;56565789;ACTIVO;2021/04/30
AZTECA DE GUATEMALA, S. A.;1936622;ACTIVO;2021/04/30
INV, S. A.;913513;ACTIVO;2021/04/30
CREDICORP, S. A.;493224;ACTIVO;2021/04/30
EL CRÉDITO HIPOTECARIO NACIONAL DE GUATEMALA;5253869;PASIVO;2021/04/30
INMOBILIARIO, S. A.;1700380;PASIVO;2021/04/30
DE LOS TRABAJADORES;24692534;PASIVO;2021/04/30
INDUSTRIAL, S. A.;103842371;PASIVO;2021/04/30
DE DESARROLLO RURAL, S. A.;79520305;PASIVO;2021/04/30
INTERNACIONAL, S. A.;10393588;PASIVO;2021/04/30
CITIBANK, N.A., SUCURSAL GUATEMALA;3944125;PASIVO;2021/04/30
VIVIBANCO, S. A.;612169;PASIVO;2021/04/30
FICOHSA GUATEMALA, S. A.;2838471;PASIVO;2021/04/30
PROMERICA, S. A.;16379000;PASIVO;2021/04/30
DE ANTIGUA, S. A.;1340610;PASIVO;2021/04/30
DE AMÉRICA CENTRAL, S. A.;31362892;PASIVO;2021/04/30
AGROMERCANTIL DE GUATEMALA, S. A.;29487991;PASIVO;2021/04/30
G&T CONTINENTAL, S. A.;51398575;PASIVO;2021/04/30
AZTECA DE GUATEMALA, S. A.;1317803;PASIVO;2021/04/30
INV, S. A.;792712;PASIVO;2021/04/30
CREDICORP, S. A.;440444;PASIVO;2021/04/30
EL CRÉDITO HIPOTECARIO NACIONAL DE GUATEMALA;280741;CAPITAL;2021/04/30
INMOBILIARIO, S. A.;337581;CAPITAL;2021/04/30
DE LOS TRABAJADORES;3983540;CAPITAL;2021/04/30
INDUSTRIAL, S. A.;8520146;CAPITAL;2021/04/30
DE DESARROLLO RURAL, S. A.;7911823;CAPITAL;2021/04/30
INTERNACIONAL, S. A.;1045580;CAPITAL;2021/04/30
CITIBANK, N.A., SUCURSAL GUATEMALA;368083;CAPITAL;2021/04/30
VIVIBANCO, S. A.;152982;CAPITAL;2021/04/30
FICOHSA GUATEMALA, S. A.;326674;CAPITAL;2021/04/30
PROMERICA, S. A.;1647749;CAPITAL;2021/04/30
DE ANTIGUA, S. A.;195702;CAPITAL;2021/04/30
DE AMÉRICA CENTRAL, S. A.;3101591;CAPITAL;2021/04/30
AGROMERCANTIL DE GUATEMALA, S. A.;2845482;CAPITAL;2021/04/30
G&T CONTINENTAL, S. A.;5167214;CAPITAL;2021/04/30
AZTECA DE GUATEMALA, S. A.;618819;CAPITAL;2021/04/30
INV, S. A.;120801;CAPITAL;2021/04/30
CREDICORP, S. A.;52780;CAPITAL;2021/04/30
EL CRÉDITO HIPOTECARIO NACIONAL DE GUATEMALA;5603350;ACTIVO;2021/05/31
INMOBILIARIO, S. A.;2010207;ACTIVO;2021/05/31
DE LOS TRABAJADORES;28887509;ACTIVO;2021/05/31
INDUSTRIAL, S. A.;112844349;ACTIVO;2021/05/31
DE DESARROLLO RURAL, S. A.;88765495;ACTIVO;2021/05/31
INTERNACIONAL, S. A.;11480163;ACTIVO;2021/05/31
CITIBANK, N.A., SUCURSAL GUATEMALA;4229080;ACTIVO;2021/05/31
VIVIBANCO, S. A.;773247;ACTIVO;2021/05/31
FICOHSA GUATEMALA, S. A.;3189467;ACTIVO;2021/05/31
PROMERICA, S. A.;18600360;ACTIVO;2021/05/31
DE ANTIGUA, S. A.;1455811;ACTIVO;2021/05/31
DE AMÉRICA CENTRAL, S. A.;34241674;ACTIVO;2021/05/31
AGROMERCANTIL DE GUATEMALA, S. A.;32111207;ACTIVO;2021/05/31
G&T CONTINENTAL, S. A.;56792070;ACTIVO;2021/05/31
AZTECA DE GUATEMALA, S. A.;1975132;ACTIVO;2021/05/31
INV, S. A.;892368;ACTIVO;2021/05/31
CREDICORP, S. A.;505062;ACTIVO;2021/05/31
EL CRÉDITO HIPOTECARIO NACIONAL DE GUATEMALA;5310799;PASIVO;2021/05/31
INMOBILIARIO, S. A.;1670702;PASIVO;2021/05/31
DE LOS TRABAJADORES;24834384;PASIVO;2021/05/31
INDUSTRIAL, S. A.;104174738;PASIVO;2021/05/31
DE DESARROLLO RURAL, S. A.;80642851;PASIVO;2021/05/31
INTERNACIONAL, S. A.;10422292;PASIVO;2021/05/31
CITIBANK, N.A., SUCURSAL GUATEMALA;3858680;PASIVO;2021/05/31
VIVIBANCO, S. A.;618676;PASIVO;2021/05/31
FICOHSA GUATEMALA, S. A.;2861165;PASIVO;2021/05/31
PROMERICA, S. A.;16908350;PASIVO;2021/05/31
DE ANTIGUA, S. A.;1340736;PASIVO;2021/05/31
DE AMÉRICA CENTRAL, S. A.;31109129;PASIVO;2021/05/31
